tag         date            comment
---         ----            -------
Z4.00.00    2023.05.19      Zenika anonymized version
3.20.00     2023.04.03      Alpine OS updated
3.17.00     2022.10.06      ssh/config fix
3.16.00     2022.10.06      Fixed volumes regression
3.15.01     2022.09.05      Added an extra apk update at the end of the dockerfile build
3.15.00     2022.09.04      Removed all volumes
3.14.00     2022.09.01      Removed custom glibc, updated builder's bashrc
3.13.00     2022.08.20      Added LibC compatility package to go helper script
3.12.01     2022.07.22      Added apk ssl keys to repo
3.12.00     2022.07.21      Ugly hack to remove a postcheck condition (removed /opt from check)
3.11.02     2022.07.21      Reverted REPODEST change in abuild.conf
3.11.01     2022.07.18      Slimmed-down the image by removing Java
3.03.00     2022.07.12      Removed unused volume, abuild.conf modification
3.02.00     2022.07.11      Moved .abuild in the proper account and significantly reduced image size (git clone --depth 1)
3.01.01     2022.07.10      Version bump to avoid duplicate tags on NAS
3.01.00     2022.07.09      Path, doc and nginx config fixes
3.00.00     2022.07.08      Added local nginx server to fetch the source code to be packaged
2.02.00     2022.07.04      Added extra doc files
2.01.00     2022.05.23      Minor fix: Made dumb-init executable
2.00.00     2022.05.22      Migrated from supervisord/sshd to dumb-init, multi-arch support
1.20.00     2022.01.28      Added the telegraf agent
1.10.01     2022.01.23      Added volume /var/jenkins
1.10.00     2022.01.23      Added jenkins integration
1.05.00     PLACEHOLDER
1.03        2021.12.17      Added python3 and pip3 in image
1.02        2021.12.17      Added curl capability to fetch files from unsecured https
1.01        2021.12.17      Added the manpages package
1.00        2021.12.16      Initial trial of a complete image
0           2021.12.16      Initial image
